place;address;availability
"Anestezjologia i intensywna terapia";;
"Zespół Opieki Zdrowotnej w Bolesławcu, Oddział Anestezjologii i Intensywnej Terapii";"59- 700 Bolesławiec ul.Jeleniogórska 4";0
"GŁOGOWSKI SZPITAL POWIATOWY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ, Oddział anestezjologii i intensywnej terapii";"67- 200 Głogów ul. Tadeusza Kościuszki 15";0
"Wojewódzkie Centrum Szpitalne Kotliny Jeleniogórskiej, Oddział Anestezjologii i Intensywnej Terapii";"58- 506 Jelenia Góra ul. Michała Kleofasa Ogińskiego 6";3
"Wojewódzki Szpital Specjalistyczny w Legnicy, Oddział Anestezjologii i Intensywnej Terapii";"59-220 Legnica ul. Jarosława Iwaszkiewicza 5";1
"Niepubliczny Zakład Opieki Zdrowotnej Łużyckie Centrum Medyczne w Lubaniu Spółka z ograniczoną odpowiedzialnością, Oddział Anestezjologii i Intensywnej Terapii";"59- 800 Lubań ul. Zawidowska 4";2
"REGIONALNE CENTRUM ZDROWIA S PÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ, Oddział Anestezjologii i Intensywnej Terapii";"59-300 Lubin ul. gen. Józefa Bema 5 -6";3
"Zespół Opieki Zdrowotnej w Oławie, Oddział Anestezjologii i Intensywnej Terapii";"55- 200 Oława ul. Krzysztofa Kamila Baczyńskiego 1";1
"Specjalistyczne Centrum Medyczne im. św. Jana Pawła II spółka akcyjna, Oddział Anestezjologii i Intensywnej Terapii";"57-320 Polanica- Zdrój ul. Jana Pawła II 2";3
"Samodzielny Publiczny Zespół Opieki Zdrowotnej w Świdnicy, Oddział Anestezjologii i Intensy wnej Terapii";"58- 100 Świdnica ul. Leśna 27 -29";4
"Specjalistyczny Szpital im. dra Alfreda Sokołowskiego, Oddział Anestezjologii i Intensywnej Terapii";"58- 309 Wałbrzych ul. Alfreda Sokołowskiego 4";3
"4 Wojskowy Szpital Kliniczny z Polikliniką Samodzielny Publiczny Zakład Opieki Zdrowotnej we Wrocławiu, Kliniczny Oddział Anestezjologii i Intensywnej Terapii";"50- 981 Wrocław ul. Rudolfa Weigla 5";x
"Dolnośląski Szpital Specjalistyczny im. T. Marciniaka -Centrum Medycyny Ratunkowej, Oddział Anestezjologii i Intensywnej Terapii";"54- 049 Wrocław ul. gen. Augusta Emila Fieldorfa 2";1
