specialization;upper_place;place;address;availability
Dziedzina medycyny;Nazwa jednostki nadrzędnej;Nazwa placówki;Adres;Liczba miejsc wolnych
Alergologia;"UNIWERSYTECKIE CENTRUM KLINICZNE
WARSZAWSKIEGO UNIWERSYTETU MEDYCZNEGO";"Oddział Kliniczny Pneumonologii,
Alergologii Wieku Dziecięcego i
Pediatrii";"ul. Żwirki i Wigury 63A 02-091
Warszawa";0
Alergologia;"Szpital Dziecięcy im.prof.dr.med.Jana Bogdanowicza
Samodzielny Publiczny Zakład Opieki Zdrowotnej";"Oddział Alergologiczny, Poradnia
Alergologiczna";"ul. Niekłańska 4/24 03-924
Warszawa";1
Alergologia;"Uniwersyteckie Centrum Kliniczne Warszawskiego
Uniwersytetu Medycznego";"Klinika Chorób Wewnętrznych,
Pneumonologii i Alergologii";"ul. Stefana Banacha 1A 02-097
Warszawa";3
Alergologia;"Uniwersyteckie Centrum Kliniczne Warszawskiego
Uniwersytetu Medycznego";"Zakład Alergologii i Immunologii
Klinicznej";"ul. Stefana Banacha 1A 02-097
Warszawa";1
Alergologia;"ZESPÓŁ LEKARZY SPECJALISTÓW MEDICA GAŁCZYŃSKI I
WSPÓLNICY SPÓŁKA JAWNA";"Zespół Lekarzy Specjalistów
Medica, Poradnia Alergologiczna";ul. 3 Maja 3 08-110 Siedlce;0
"Anestezjologia i 
intensywna terapia";"SZPITAL POWIATOWY GAJDA-MED SPÓŁKA Z
OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"Oddział Anestezjologii i
Intensywnej Terapii";"ul. Teofila Kwiatkowskiego 19 06-102
Pułtusk";1
"Anestezjologia i 
intensywna terapia";"UNIWERSYTECKIE CENTRUM KLINICZNE
WARSZAWSKIEGO UNIWERSYTETU MEDYCZNEGO";"Oddział Kliniczny Anestezjologii,
Intensywnej Terapii i Opieki
Pooperacyjnej";"ul. Żwirki i Wigury 63A 02-091
Warszawa";0
"Anestezjologia i 
intensywna terapia";"Mazowiecki Szpital Onkologiczny Spółka z ograniczoną
odpowiedzialnością";"Oddział Anestezjologii i
Intensywnej Terapii";ul. Kościelna 61 05-135 Wieliszew;0
"Anestezjologia i 
intensywna terapia";"SZPITAL WOLSKI IM. DR. ANNY GOSTYŃSKIEJ
SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ";"Oddział Anestezjologii i
Intensywnej Terapii";"ul. Marcina Kasprzaka 17 01-211
Warszawa";0
"Anestezjologia i 
intensywna terapia";"Samodzielny Publiczny Zespół Zakładów Opieki
zdrowotnej w Wyszkowie";"Oddział Anestezjologii i
Intensywnej Terapii";ul. Komisji Edukacji Narodowej 1 07-200 Wyszków;0
"Anestezjologia i 
intensywna terapia";"Samodzielny Publiczny Zespół Zakładów Opieki
Zdrowotnej w Kozienicach";"Oddział Anestezjologii i
Intensywnej Terapii";"ul. Aleja Władysława Sikorskiego 10
26-900 Kozienice";2
"Anestezjologia i 
intensywna terapia";"Mazowiecki Szpital Specjalistyczny im. dr. Józefa
Psarskiego w Ostrołęce";"Oddział Anestezjologii i
Intensywnej Terapii";"ul. Aleja Jana Pawła II 120A 07-410
Ostrołęka";1
