Wojewodztwo,Specjalizacja,Priorytet,Szpital,Adres,Dodatkowe Info,Highlight,Liczba Miejsc w trybie rezydenckim,Liczba Miejsc w trybie pozarezydenckich,Liczba Miejsc
Pomorskie,Alergologia,False,"Uniwersyteckie Centrum Kliniczne
Klinika Dermatologii, Wenerologii i Alergologii","ul. Mariana
Smoluchowskiego 17
80-214 Gdańsk",Trójmiasto,False,2 (0),0,1
Pomorskie,Alergologia,False,"COPERNICUS PODMIOT LECZNICZY SPÓŁKA Z
OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
Szpital św. Wojciecha, Oddział Pediatryczny","ul. al. Jana Pawła II 50
80-462 Gdańsk",Trójmiasto,False,2 (0),0,2
Pomorskie,Alergologia,False,"SZPITAL DZIECIĘCY POLANKI IM. MACIEJA PŁAŻYŃSKIEGO W
GDAŃSKU SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
Oddział alergologii, immunologii i chorób płuc","ul. Polanki 119
80-308 Gdańsk",Trójmiasto,False,2 (0),0,2
Pomorskie,Alergologia,False,"Uniwersyteckie Centrum Kliniczne
Klinika Alergologii i Pneumonologii","ul. Mariana
Smoluchowskiego 17
80-214 Gdańsk",Trójmiasto,False,2 (0),0,3
Pomorskie,Alergologia,False,"COPERNICUS PODMIOT LECZNICZY SPÓŁKA Z
OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
Kliniczny Oddział Gastroenterologii, Alergologii i Żywienia
Dzieci Gdańskiego Uniwersytetu Medycznego","ul. Nowe Ogrody 1-6
80-803 Gdańsk",Trójmiasto,False,2 (0),0,0
Pomorskie,Anestezjologia i intensywna terapia,False,"Szpital Specjalistyczny im. J. K. Łukowicza w Chojnicach
Oddział Anestezjologii i Intensywnej Terapii","ul. Leśna 10
89-600 Chojnice",Zadupie,True,18 (0),20,3
Pomorskie,Anestezjologia i intensywna terapia,False,"Uniwersyteckie Centrum Kliniczne
Klinika Anestezjologii i Intensywnej Terapii","ul. Mariana
Smoluchowskiego 17
80-214 Gdańsk",Trójmiasto,True,18 (0),20,4
Pomorskie,Anestezjologia i intensywna terapia,False,"SZPITALE POMORSKIE SPÓŁKA Z OGRANICZONĄ
ODPOWIEDZIALNOŚCIĄ
Szpital Św. Wincentego a Paulo Oddział Anestezjologii i
Intensywnej Terapii","ul. Wójta Radtkego 1
81-348 Gdynia",Trójmiasto,True,18 (0),20,1
Pomorskie,Anestezjologia i intensywna terapia,False,"COPERNICUS PODMIOT LECZNICZY SPÓŁKA Z
OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
Szpital św. Wojciecha, Oddział Anestezjologii i Intensywnej
Terapii","ul. al. Jana Pawła II 50
80-462 Gdańsk",Trójmiasto,True,18 (0),20,3
Pomorskie,Anestezjologia i intensywna terapia,False,"COPERNICUS PODMIOT LECZNICZY SPÓŁKA Z
OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
Oddział Anestezjologii i Intensywnej Terapii dla Dorosłych","ul. Nowe Ogrody 1-6
80-803 Gdańsk",Trójmiasto,True,18 (0),20,1
Pomorskie,Anestezjologia i intensywna terapia,False,"WOJEWÓDZKI SZPITAL SPECJALISTYCZNY IM. JANUSZA
KORCZAKA W SŁUPSKU SPÓŁKA Z OGRANICZONĄ
ODPOWIEDZIALNOŚCIĄ
Oddział anestezjologii i intensywnej terapii","ul. Hubalczyków 1
76-200 Słupsk",Zadupie,True,18 (0),20,2
Pomorskie,Anestezjologia i intensywna terapia,False,"SZPITAL SPECJALISTYCZNY W KOŚCIERZYNIE SPÓŁKA Z
OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
Oddział Anestezjologii i Intensywnej Terapii","ul. Alojzego
Piechowskiego 36
83-400 Kościerzyna",Zadupie,True,18 (0),20,-1
Pomorskie,Anestezjologia i intensywna terapia,False,"Samodzielny Publiczny Specjalistyczny Zakład Opieki
Zdrowotnej
Oddział Anestezjologii i Intensywnej Terapii","ul. Juliana
Węgrzynowicza 13
84-300 Lębork",Zadupie,True,18 (0),20,3
Pomorskie,Anestezjologia i intensywna terapia,False,"SZPITALE POMORSKIE SPÓŁKA Z OGRANICZONĄ
ODPOWIEDZIALNOŚCIĄ
Szpital Specjallistyczny im. F. Ceynowy, Oddział
Anestezjologii i Intensywnej Terapii","ul. dr. Alojzego
Jagalskiego 10
84-200 Wejherowo",Zadupie,True,18 (0),20,1
Pomorskie,Anestezjologia i intensywna terapia,False,"SZPITALE POMORSKIE SPÓŁKA Z OGRANICZONĄ
ODPOWIEDZIALNOŚCIĄ
Szpital Morski im. PCK Oddział Anestezjologii i Intensywnej
Terapii","ul. Powstania
Styczniowego 1
81-519 Gdynia",Trójmiasto,True,18 (0),20,1
Pomorskie,Angiologia,False,"Uniwersyteckie Centrum Kliniczne
Klinika Nadciśnienia Tętniczego i Diabetologii","ul. Mariana
Smoluchowskiego 17
80-214 Gdańsk",Trójmiasto,False,3 (0),0,1
Pomorskie,Audiologia i foniatria,False,"Uniwersyteckie Centrum Kliniczne
Klinika Otolaryngologii z Oddziałem Chirurgii Szczękowo-Twarzowej","ul. Mariana
Smoluchowskiego 17
80-214 Gdańsk",Trójmiasto,False,1 (0),0,2
