place;address;availability
Anestezjologia i intensywna terapia;;
"Beskidzkie Centrum Onkologii - Szpital Miejski im. Jana Pawła
II w Bielsku- Białej,
Oddział Anestezjo logii i Intensywnej Terapii
(43-300 Bielsko- Biała, ul. Stanisława Wyspiańskiego 21)";"43-300 Bielsko- Biała
ul. Wyzwolenia 18";5
Szpital Wojewódzki w Bielsku Białej, -Oddział Anestezjologii i Intensywnej Terapii;"43-316 Bielsko- Biała
Aleja Armii Krajowej 101";8
"Wojewódzki Szpital Specjalistyczny nr 4 w Bytomiu,
Oddział Anestezjologii i Intensywnej Terapii";"41-902 Bytom
Aleja Legionów 10";0
"Samodzielny Publiczny Zakład Opieki Zdrowotnej Zespół
Szpitali Miejskich,
Oddział Anestezjologii i Intensywnej Terapii";"41-500 Chorzów
ul. Strzelców Bytomskich
11";2
"Zespół Zakładów Opieki Zdrowotnej w Cieszynie,
Oddział Anestezjologii i Intensywnej Terapii";"43-400 Cieszyn
ul. Bielska 4";3
"POWIATOWY ZESPÓŁ ZAKŁADÓW OPIEKI
ZDROWOTNEJ,
Oddział Anestezjologii i Intensywnej Terapii";"41- 250 Czeladź
ul. Szpitalna 40";1
"Miejski Szpital Zespolony,
Oddział Anestezjologii i Intensywnej Terapii";"42- 200 Częstochowa
ul. Mirowska 15";0
"Wojewódzki Szpital Specjalistyczny im. Najświętszej Maryi
Panny, Oddział Anestezjologii i Intensywnej Terapii";"42- 200 Częstochowa
ul. Bialska 104/118";11
"Zagłębiowskie Centrum Onkologii Szpital Specjalistyczny im.
Sz. Starkiewicza w Dąbrowie Górniczej,
Oddział Anestezjologii i Intensywnej Terapii";"41- 300 Dąbrowa
Górnicza
ul. Szpitalna 13";0
"Wojewódzki Szpital Specjalistyczny Nr 2 w Jastrzębiu -Zdroju,
Oddział Anestezjologii i Intensywnej Terapii";44- 330 Jastrzębie Zdrój -Aleja Jana Pawła II 7;5
"Szpital Wielospecjalistyczny w Jaworznie,
Oddział Anestezjologii i Intensywnej Terapii";"43-600 Jaworzno
ul. Józefa Chełmońskiego
28";3
"Górnośląskie Centrum Medyczne im. prof. Leszka Gieca
Śląskiego Uniwersytetu Medycznego w Katowicach,
Oddział Anestezjologii i Intensywnej Terapii";"40-635 Katowice
ul. Ziołowa 45 -47";0
"Uniwersyteckie Centrum Kliniczne im. prof. K. Gibińskiego
Śląskiego Uniwersytetu Medycznego w Katowicach,
Szpital Ligota- CSK Oddział Anestezjologii i Intensywnej
Terapii (ul. Medyków 14, Katowice) Szpital Ceglana Oddział
Anestezjologii (ul. Ceglana 35, Katowice)";"40-514 Katowice
ul. Ceglana 35";8
"Szpital Rejonowy im. dr Józ efa Rostka w Raciborzu,
Oddział Anestezjologii i Intensywnej Terapii";"47- 400 Racibórz
ul. Gamowska 3";5
"Szpital Miejski w Rudzie Śląskiej spółka z ograniczoną
odpowiedzialnością,
Oddział Anestezjologii i Intensywnej Terapii";"41- 703 Ruda Śląska
ul. Wincentego Lipa 2";0
"Samodzielny Publiczny Zakład Opieki Zdrowotnej Wojewódzki
Szpital Specjalistyczny Nr 3 w Rybniku,
Oddział Anestezjologii i Intensywnej Terapii";"44-200 Rybnik
ul. Energetyków 46";2
"CENTRUM PEDIATRII IM.JANA PAWŁA II W
SOSNOWCU SPÓŁKA Z OGRANICZONĄ
ODPOWIEDZIALNOŚCIĄ,
Oddział Anestezjologii i Intensywnej Terapii dla Noworodków i
Dzieci";"41-218 Sosnowiec
ul. Gabrieli Zapolskiej 3";0
"Wojewódzki Szpital Specjalistyczny Nr 5 im. Św. Barbary w
Sosnowcu, Oddział Anestezjologii i Intensywnej Terapii";"41-200 Sosnowiec
Plac Medyków 1";10
"Wielospecjalistyczny Szpital Powiatowy S.A.,
NZOZ Szpital im. dr. B. Hagera w Tarnowskich Górach
Oddział Anestezjologii i Intensywnej Terapii";"42-612 Tarnowskie Góry
ul. Pyskowicka 47-51";2
"Megrez Spółka z ograniczoną odpowiedzialnością,
Wojewódzki Szpital Specjalistyczny w Tychach Oddział
Anestezjologii i Intensywnej Terapii";"43-100 Tychy
ul. Edukacji 102";1
"Scanmed Spółka Akcyjna, Szpital im. Rudolfa Weigla w
Blachowni
Oddział Anestezjologii i Intensywnej Terapii (42 -290
Blachownia, ul. Sosnowa 16)";"03-715 Warszawa
Ul. Stefana Okrzei 1A";2
"Powiatowy Publiczny Zakład Opieki Zdrowotnej w
Rydułtowach i Wodzisławiu Ślaskim z siedzibą w Wodzisławiu
Śląskim, Oddział Anestezjologii i Intensywnej Terapii";"44- 300 Wodzisław Śląski
ul. 26 Marca 51";2
"BONIFRATERSKIE CENTRUM MEDYCZNE SPÓŁKA Z
OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,
Oddział Anestezjologii i Intensywnej Terapii
(40-211 Katowice, ul. Leopolda Markiefki 87)";"50- 417 Wrocław
ul. gen. Romualda
Traugutta 57/59";0
"Samodzielny Publiczny Szpital Kliniczny Nr 1 im. prof.
Stanisława Szyszko Śląskiego Uniwersytetu Medycznego w
Katowicach, Oddział Anestezjologii i Intensywnej Terapii";"41-800 Zabrze
ul. 3 Maja 13-15";22
"Szpital Miejski w Zabrzu Sp. z o.o.,
Oddział Anestezjologii i Intensywnej Terapii Med ycznej";"41-803 Zabrze
ul. Zamkowa 4";5
"Śląskie Centrum Chorób Serca,
Oddział Kliniczny Kardioanestezji i Intensywnej Terapii";"41-800 Zabrze
ul. Marii Curie-Skłodowskiej 9";2
"Szpital Powiatowy w Zawierciu,
Oddział Anestezjologii i Intensywnej Terapii";"42-400 Zawiercie
ul. Miodowa 14";3
"Katowickie Centrum Onkologii
Oddział Anestezjologii i Intensywnej Terapii";"40-074 Katowice
ul.Raciborska 27";1
Endokrynologia;;
"Samodzielny Publiczny Szpital Kliniczny im. Andrzeja
Mielęckiego Śląskiego Uniwersytetu M edycznego w
Katowicach,
Oddział Chorób Wewnętrznych i Chemioterapii Onkologicznej
(40- 029 Katowice, ul. Władysława Stanisława Reymonta 8)";40-027 Katowice ul. Francuska 20/24;2
"Uniwersyteckie Centrum Kliniczne im. prof. K. Gibińskiego
Śląskiego Uniwersytet u Medycznego w Katowicach,
Oddział Endokrynologii i Nowotworów Neuroendokrynnych";"40-514 Katowice
ul. Ceglana 35";6
"Uniwersyteckie Centrum Kliniczne im. prof. K. Gibińskiego
Śląskiego Uniwersytetu Medycznego w Katowicach,
Szpital Ligota- CSK Oddział Endokryn ologii Ginekologicznej
(40- 752 Katowice, ul. Medyków 14)";"40-514 Katowice
ul. Ceglana 35";2
"Piekarskie Centrum Medyczne spółka z ograniczoną
odpowiedzialnością,
Szpital Miejski w Piekarach Śląskich p.w. św. Łukasza, Oddział
endokrynologiczny";"41-940 Piekary Śląskie
ul. Szpitalna 11";0
"Samodzielny Publiczny Zakład Opieki Zdrowotnej Wojewódzki
Szpital Specjalistyczny Nr 3 w Rybniku,
Oddział Endokrynologii i Chorób Metabolicznych";"44-200 Rybnik
ul. Energetyków 46";0
"NARODOWY INSTYTUT ONKOLOGII IM. MARII
SKŁODOWSK IEJ-CURIE - PAŃSTWOWY INSTYTUT
BADAWCZY,
Szpital Instytutu Oddziału w Gliwicach, Zakład Medycyny
Nuklearnej i Endokrynologii Onkologicznej
(44- 102 Gliwice, ul. Wybrzeże Armii Krajowej 15)";"02-781 Warszawa
ul. Wilhelma Konrada
Roentgena 5";6
Hematologia;;
"Szpital Wojewódzki w Bielsku - Białej,
Oddział Hematologii";"43-316 Bielsko- Biała
ul. Armii Krajowej
101";0
"SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI
ZDROWOTNEJ SZPITAL SPECJALISTYCZNY NR I W
BYTOMIU,
Oddział Hematologii";"41-902 Bytom
ul. Stefana
Żeromskiego 7";2
"Samodzielny Publiczny Zakład Opieki Zdrowotnej Zespół
Szpitali Miejskich,
Oddział Kliniczny Hematologii i Profilaktyki Chorób
Nowotworowych";"41- 500 Chorzów
ul. Strzelców
Bytomskich 11";2
"Samodzielny Publiczny Szpital Kliniczny im. Andrzeja
Mielęckiego Śląskiego Uniwersytetu Medycznego w Katowicach,
Oddział Hematologii i Transplantacji Szpiku
(40-032 Katowice, ul. Henryka Dąbrowskiego 25)";"40-027 Katowice
ul. Francuska 20/24";2
"NARODOWY INSTYTUT ONKOLOGII IM. MARII
SKŁODOWSKIEJ -CURIE - PAŃSTWOWY INSTYTUT
BADAWCZY,
Szpital Instytutu Oddziału w Gliwicach, Klinika Transplantacji
Szpiku i Onkohematologii
(44-102 Gliwice, ul. Wybrzeże Armii Krajowej 15)";"02-781 Warszawa
ul. Wilhelma
Konrada Roentgena 5";3
Onkologia i hematologia dziecięca;;
